Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Feb 29 13:08:13 2024
| Host         : DESKTOP-9JQALQI running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical
| Design       : design_1_wrapper
| Device       : 7z020clg484-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------+------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+------+--------+--------+--------------+
|                                   Instance                                  |                                       Module                                       |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP48 Blocks |
|           Dual.INPUT_DOUBLE_REGS4                                           |                                                     design_1_axi_gpio_1_1_cdc_sync |         Static |            - |          0 |          0 |       0 |    0 |  128 |      0 |      0 |            0 |
|           Dual.INPUT_DOUBLE_REGS5                                           |                                     design_1_axi_gpio_1_1_cdc_sync__parameterized0 |         Static |            - |          0 |          0 |       0 |    0 |    4 |      0 |      0 |            0 |
|     STARTUP_0                                                               |                                                               design_1_STARTUP_0_0 |         Static |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|       inst                                                                  |                                                       design_1_STARTUP_0_0_STARTUP |         Static |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|     axi_gpio_0                                                              |                                                              design_1_axi_gpio_0_0 |         Static |            - |         34 |         34 |       0 |    0 |   36 |      0 |      0 |            0 |
|       U0                                                                    |                                                     design_1_axi_gpio_0_0_axi_gpio |         Static |            - |         34 |         34 |       0 |    0 |   36 |      0 |      0 |            0 |
|         (U0)                                                                |                                                     design_1_axi_gpio_0_0_axi_gpio |         Static |            - |          0 |          0 |       0 |    0 |    4 |      0 |      0 |            0 |
|         AXI_LITE_IPIF_I                                                     |                                                design_1_axi_gpio_0_0_axi_lite_ipif |         Static |            - |         30 |         30 |       0 |    0 |   28 |      0 |      0 |            0 |
|           I_SLAVE_ATTACHMENT                                                |                                             design_1_axi_gpio_0_0_slave_attachment |         Static |            - |         30 |         30 |       0 |    0 |   28 |      0 |      0 |            0 |
|             (I_SLAVE_ATTACHMENT)                                            |                                             design_1_axi_gpio_0_0_slave_attachment |         Static |            - |         20 |         20 |       0 |    0 |   22 |      0 |      0 |            0 |
|             I_DECODER                                                       |                                              design_1_axi_gpio_0_0_address_decoder |         Static |            - |         10 |         10 |       0 |    0 |    6 |      0 |      0 |            0 |
|               (I_DECODER)                                                   |                                              design_1_axi_gpio_0_0_address_decoder |         Static |            - |          8 |          8 |       0 |    0 |    6 |      0 |      0 |            0 |
|               MEM_DECODE_GEN[0].PER_CE_GEN[0].MULTIPLE_CES_THIS_CS_GEN.CE_I |                                                    design_1_axi_gpio_0_0_pselect_f |         Static |            - |          1 |          1 |       0 |    0 |    0 |      0 |      0 |            0 |
|               MEM_DECODE_GEN[0].PER_CE_GEN[2].MULTIPLE_CES_THIS_CS_GEN.CE_I |                                    design_1_axi_gpio_0_0_pselect_f__parameterized1 |         Static |            - |          1 |          1 |       0 |    0 |    0 |      0 |      0 |            0 |
|         gpio_core_1                                                         |                                                    design_1_axi_gpio_0_0_GPIO_Core |         Static |            - |          4 |          4 |       0 |    0 |    4 |      0 |      0 |            0 |
|     processing_system7_0                                                    |                                                    design_1_processing_system7_0_0 |         Static |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|       (processing_system7_0)                                                |                                                    design_1_processing_system7_0_0 |         Static |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|       inst                                                                  |         design_1_processing_system7_0_0_processing_system7_v5_5_processing_system7 |         Static |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|     ps7_0_axi_periph                                                        |                                                        design_1_ps7_0_axi_periph_0 |         Static |            - |        499 |        438 |       0 |   61 |  686 |      0 |      0 |            0 |
|       s00_couplers                                                          |                                                            s00_couplers_imp_UYSKKA |         Static |            - |        393 |        332 |       0 |   61 |  572 |      0 |      0 |            0 |
|         auto_pc                                                             |                                                                 design_1_auto_pc_0 |         Static |            - |        393 |        332 |       0 |   61 |  572 |      0 |      0 |            0 |
|           inst                                                              |          design_1_auto_pc_0__axi_protocol_converter_v2_1_17_axi_protocol_converter |         Static |            - |        393 |        332 |       0 |   61 |  572 |      0 |      0 |            0 |
|             gen_axilite.gen_b2s_conv.axilite_b2s                            |                             design_1_auto_pc_0__axi_protocol_converter_v2_1_17_b2s |         Static |            - |        393 |        332 |       0 |   61 |  572 |      0 |      0 |            0 |
|               (gen_axilite.gen_b2s_conv.axilite_b2s)                        |                             design_1_auto_pc_0__axi_protocol_converter_v2_1_17_b2s |         Static |            - |          1 |          1 |       0 |    0 |    1 |      0 |      0 |            0 |
|               RD.ar_channel_0                                               |                  design_1_auto_pc_0__axi_protocol_converter_v2_1_17_b2s_ar_channel |         Static |            - |         71 |         71 |       0 |    0 |   83 |      0 |      0 |            0 |
|                 (RD.ar_channel_0)                                           |                  design_1_auto_pc_0__axi_protocol_converter_v2_1_17_b2s_ar_channel |         Static |            - |          0 |          0 |       0 |    0 |   12 |      0 |      0 |            0 |
|                 ar_cmd_fsm_0                                                |                  design_1_auto_pc_0__axi_protocol_converter_v2_1_17_b2s_rd_cmd_fsm |         Static |            - |         13 |         13 |       0 |    0 |    4 |      0 |      0 |            0 |
|                 cmd_translator_0                                            |            design_1_auto_pc_0__axi_protocol_converter_v2_1_17_b2s_cmd_translator_1 |         Static |            - |         58 |         58 |       0 |    0 |   67 |      0 |      0 |            0 |
|                   (cmd_translator_0)                                        |            design_1_auto_pc_0__axi_protocol_converter_v2_1_17_b2s_cmd_translator_1 |         Static |            - |          1 |          1 |       0 |    0 |    3 |      0 |      0 |            0 |
|                   incr_cmd_0                                                |                  design_1_auto_pc_0__axi_protocol_converter_v2_1_17_b2s_incr_cmd_2 |         Static |            - |         27 |         27 |       0 |    0 |   22 |      0 |      0 |            0 |
|                   wrap_cmd_0                                                |                  design_1_auto_pc_0__axi_protocol_converter_v2_1_17_b2s_wrap_cmd_3 |         Static |            - |         30 |         30 |       0 |    0 |   42 |      0 |      0 |            0 |
|               RD.r_channel_0                                                |                   design_1_auto_pc_0__axi_protocol_converter_v2_1_17_b2s_r_channel |         Static |            - |         65 |         18 |       0 |   47 |   56 |      0 |      0 |            0 |
|                 (RD.r_channel_0)                                            |                   design_1_auto_pc_0__axi_protocol_converter_v2_1_17_b2s_r_channel |         Static |            - |          0 |          0 |       0 |    0 |   14 |      0 |      0 |            0 |
|                 rd_data_fifo_0                                              | design_1_auto_pc_0__axi_protocol_converter_v2_1_17_b2s_simple_fifo__parameterized1 |         Static |            - |         43 |          9 |       0 |   34 |   26 |      0 |      0 |            0 |
