Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Sun Mar 10 16:44:45 2024
| Host         : DESKTOP-9JQALQI running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical
| Design       : design_1_wrapper
| Device       : 7z020clg484-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------+------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+------+--------+--------+--------------+
|                                   Instance                                  |                                       Module                                       |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP48 Blocks |
|               U0                                                            |                                            fifo_generator_1_fifo_generator_v13_2_2 | Reconfigurable |            - |        188 |         60 |     128 |    0 |   60 |      0 |      0 |            0 |
|                 inst_fifo_gen                                               |                                      fifo_generator_1_fifo_generator_v13_2_2_synth | Reconfigurable |            - |        188 |         60 |     128 |    0 |   60 |      0 |      0 |            0 |
|                   gconvfifo.rf                                              |                                                fifo_generator_1_fifo_generator_top | Reconfigurable |            - |        188 |         60 |     128 |    0 |   60 |      0 |      0 |            0 |
|                     grf.rf                                                  |                                            fifo_generator_1_fifo_generator_ramfifo | Reconfigurable |            - |        188 |         60 |     128 |    0 |   60 |      0 |      0 |            0 |
|                       gntv_or_sync_fifo.gl0.rd                              |                                                          fifo_generator_1_rd_logic | Reconfigurable |            - |         22 |         22 |       0 |    0 |   18 |      0 |      0 |            0 |
|                         grss.rsts                                           |                                                fifo_generator_1_rd_status_flags_ss | Reconfigurable |            - |          2 |          2 |       0 |    0 |    2 |      0 |      0 |            0 |
|                         rpntr                                               |                                                       fifo_generator_1_rd_bin_cntr | Reconfigurable |            - |         20 |         20 |       0 |    0 |   16 |      0 |      0 |            0 |
|                       gntv_or_sync_fifo.gl0.wr                              |                                                          fifo_generator_1_wr_logic | Reconfigurable |            - |         15 |         15 |       0 |    0 |   18 |      0 |      0 |            0 |
|                         gwss.wsts                                           |                                                fifo_generator_1_wr_status_flags_ss | Reconfigurable |            - |          4 |          4 |       0 |    0 |    2 |      0 |      0 |            0 |
|                         wpntr                                               |                                                       fifo_generator_1_wr_bin_cntr | Reconfigurable |            - |         11 |         11 |       0 |    0 |   16 |      0 |      0 |            0 |
|                       gntv_or_sync_fifo.mem                                 |                                                            fifo_generator_1_memory | Reconfigurable |            - |        152 |         24 |     128 |    0 |   24 |      0 |      0 |            0 |
|                         gdm.dm_gen.dm                                       |                                                              fifo_generator_1_dmem | Reconfigurable |            - |        152 |         24 |     128 |    0 |   24 |      0 |      0 |            0 |
|             fifo2                                                           |                                                                   fifo_generator_7 | Reconfigurable |            - |         59 |         23 |      36 |    0 |   53 |      0 |      0 |            0 |
|               U0                                                            |                                            fifo_generator_7_fifo_generator_v13_2_2 | Reconfigurable |            - |         59 |         23 |      36 |    0 |   53 |      0 |      0 |            0 |
|                 inst_fifo_gen                                               |                                      fifo_generator_7_fifo_generator_v13_2_2_synth | Reconfigurable |            - |         59 |         23 |      36 |    0 |   53 |      0 |      0 |            0 |
|                   gconvfifo.rf                                              |                                                fifo_generator_7_fifo_generator_top | Reconfigurable |            - |         59 |         23 |      36 |    0 |   53 |      0 |      0 |            0 |
|                     grf.rf                                                  |                                            fifo_generator_7_fifo_generator_ramfifo | Reconfigurable |            - |         59 |         23 |      36 |    0 |   53 |      0 |      0 |            0 |
|                       gntv_or_sync_fifo.gl0.rd                              |                                                          fifo_generator_7_rd_logic | Reconfigurable |            - |         16 |         16 |       0 |    0 |   14 |      0 |      0 |            0 |
|                         grss.rsts                                           |                                                fifo_generator_7_rd_status_flags_ss | Reconfigurable |            - |          1 |          1 |       0 |    0 |    2 |      0 |      0 |            0 |
|                         rpntr                                               |                                                       fifo_generator_7_rd_bin_cntr | Reconfigurable |            - |         15 |         15 |       0 |    0 |   12 |      0 |      0 |            0 |
|                       gntv_or_sync_fifo.gl0.wr                              |                                                          fifo_generator_7_wr_logic | Reconfigurable |            - |          8 |          8 |       0 |    0 |   14 |      0 |      0 |            0 |
|                         gwss.wsts                                           |                                                fifo_generator_7_wr_status_flags_ss | Reconfigurable |            - |          4 |          4 |       0 |    0 |    2 |      0 |      0 |            0 |
|                         wpntr                                               |                                                       fifo_generator_7_wr_bin_cntr | Reconfigurable |            - |          4 |          4 |       0 |    0 |   12 |      0 |      0 |            0 |
|                       gntv_or_sync_fifo.mem                                 |                                                            fifo_generator_7_memory | Reconfigurable |            - |         36 |          0 |      36 |    0 |   25 |      0 |      0 |            0 |
|                         gdm.dm_gen.dm                                       |                                                              fifo_generator_7_dmem | Reconfigurable |            - |         36 |          0 |      36 |    0 |   25 |      0 |      0 |            0 |
|             fifo8                                                           |                                                                   fifo_generator_8 | Reconfigurable |            - |         42 |         18 |      24 |    0 |   56 |      0 |      0 |            0 |
|               U0                                                            |                                            fifo_generator_8_fifo_generator_v13_2_2 | Reconfigurable |            - |         42 |         18 |      24 |    0 |   56 |      0 |      0 |            0 |
|                 inst_fifo_gen                                               |                                      fifo_generator_8_fifo_generator_v13_2_2_synth | Reconfigurable |            - |         42 |         18 |      24 |    0 |   56 |      0 |      0 |            0 |
|                   gconvfifo.rf                                              |                                                fifo_generator_8_fifo_generator_top | Reconfigurable |            - |         42 |         18 |      24 |    0 |   56 |      0 |      0 |            0 |
|                     grf.rf                                                  |                                            fifo_generator_8_fifo_generator_ramfifo | Reconfigurable |            - |         42 |         18 |      24 |    0 |   56 |      0 |      0 |            0 |
|                       gntv_or_sync_fifo.gl0.rd                              |                                                          fifo_generator_8_rd_logic | Reconfigurable |            - |          4 |          4 |       0 |    0 |   12 |      0 |      0 |            0 |
|                         grss.rsts                                           |                                                fifo_generator_8_rd_status_flags_ss | Reconfigurable |            - |          1 |          1 |       0 |    0 |    2 |      0 |      0 |            0 |
|                         rpntr                                               |                                                       fifo_generator_8_rd_bin_cntr | Reconfigurable |            - |          3 |          3 |       0 |    0 |   10 |      0 |      0 |            0 |
|                       gntv_or_sync_fifo.gl0.wr                              |                                                          fifo_generator_8_wr_logic | Reconfigurable |            - |         14 |         14 |       0 |    0 |   12 |      0 |      0 |            0 |
|                         gwss.wsts                                           |                                                fifo_generator_8_wr_status_flags_ss | Reconfigurable |            - |          3 |          3 |       0 |    0 |    2 |      0 |      0 |            0 |
|                         wpntr                                               |                                                       fifo_generator_8_wr_bin_cntr | Reconfigurable |            - |         11 |         11 |       0 |    0 |   10 |      0 |      0 |            0 |
|                       gntv_or_sync_fifo.mem                                 |                                                            fifo_generator_8_memory | Reconfigurable |            - |         24 |          0 |      24 |    0 |   32 |      0 |      0 |            0 |
|                         gdm.dm_gen.dm                                       |                                                              fifo_generator_8_dmem | Reconfigurable |            - |         24 |          0 |      24 |    0 |   32 |      0 |      0 |            0 |
|             hash                                                            |                                                                         Keccak1600 | Reconfigurable |            - |       2915 |       2915 |       0 |    0 | 1610 |      0 |      0 |            0 |
|               FSM                                                           |                                                                       StateMachine | Reconfigurable |            - |         60 |         60 |       0 |    0 |   10 |      0 |      0 |            0 |
|               RoundFunction                                                 |                                                                              Round | Reconfigurable |            - |       2855 |       2855 |       0 |    0 | 1600 |      0 |      0 |            0 |
|                 Reg                                                         |                                                                       RegisterFDRE | Reconfigurable |            - |       1715 |       1715 |       0 |    0 | 1600 |      0 |      0 |            0 |
|                 T                                                           |                                                                              theta | Reconfigurable |            - |       1140 |       1140 |       0 |    0 |    0 |      0 |      0 |            0 |
|           ntt                                                               |                                                                    NTT_core_Server | Reconfigurable |            - |       1516 |       1432 |       0 |   84 | 1150 |      1 |      4 |            2 |
|             (ntt)                                                           |                                                                    NTT_core_Server | Reconfigurable |            - |        753 |        753 |       0 |    0 |  435 |      0 |      0 |            0 |
|             BU                                                              |                                                                      butterfly_Ser | Reconfigurable |            - |        659 |        605 |       0 |   54 |  573 |      0 |      0 |            2 |
|               (BU)                                                          |                                                                      butterfly_Ser | Reconfigurable |            - |        377 |        377 |       0 |    0 |  269 |      0 |      0 |            0 |
|               M0                                                            |                                                                         mult_gen_0 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            1 |
|                 U0                                                          |                                                       mult_gen_0_mult_gen_v12_0_14 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            1 |
|                   i_mult                                                    |                                                   mult_gen_0_mult_gen_v12_0_14_viv | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            1 |
|                     gDSP.gDSP_only.iDSP                                     |                                                                     mult_gen_0_dsp | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            1 |
|               M1                                                            |                                                                   mult_gen_0_HD940 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            1 |
|                 U0                                                          |                                                 mult_gen_0_mult_gen_v12_0_14_HD941 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            1 |
|                   i_mult                                                    |                                             mult_gen_0_mult_gen_v12_0_14_viv_HD942 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            1 |
|                     gDSP.gDSP_only.iDSP                                     |                                                               mult_gen_0_dsp_HD943 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            1 |
|               R0                                                            |                                                                              reduc | Reconfigurable |            - |        122 |        115 |       0 |    7 |   96 |      0 |      0 |            0 |
|               R1                                                            |                                                                            reduc_0 | Reconfigurable |            - |        121 |        114 |       0 |    7 |   96 |      0 |      0 |            0 |
|               S0                                                            |                                                                      c_shift_ram_0 | Reconfigurable |            - |          8 |          0 |       0 |    8 |   24 |      0 |      0 |            0 |
|                 U0                                                          |                                                 c_shift_ram_0_c_shift_ram_v12_0_12 | Reconfigurable |            - |          8 |          0 |       0 |    8 |   24 |      0 |      0 |            0 |
